Last Name,First Name,GPA,Selected Partner?,Project 1,Project 2,Project 3,Project 4,Project 6,Project 7,Project 8,Project 9,Project 10,Project 11,Project 12,Project 13,Project 14,Project 15,Project 16,Project 17,Project 18,Project 19,Project 20,Project 21,Project 22,Project 23,Project 24,Project 25,Project 26,Project 27,Project 28,Partner Last,Partner First,Partner GPA,User Major,Partner Major
last_name_29,first_name_29,3.81,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,5,0,3,2,0,0,0,partner_last_name_10,partner_first_name_10,3.38,Mechanical Engineering,Engineering Mechanics
last_name_30,first_name_30,2.52,0,3,0,0,0,0,0,0,0,1,3,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,5,,,,Engineering Mechanics,
last_name_31,first_name_31,3.83,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,5,0,0,0,0,3,0,1,1,,,,Mechanical Engineering,
last_name_32,first_name_32,3.5,0,0,0,0,0,1,0,0,2,1,5,0,0,0,0,1,0,0,0,5,0,5,0,1,0,0,1,2,,,,Mechanical Engineering,
last_name_33,first_name_33,3.31,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,4,4,0,0,0,0,4,5,,,,Mechanical Engineering,
last_name_34,first_name_34,3.68,0,0,3,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,2,2,3,0,4,0,0,,,,Mechanical Engineering,
last_name_35,first_name_35,3.12,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,3,0,4,0,0,2,3,,,,Mechanical Engineering,
last_name_36,first_name_36,3.18,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,5,0,2,4,4,partner_last_name_11,partner_first_name_11,2.92,Mechanical Engineering,Mechanical Engineering
last_name_37,first_name_37,2.38,0,2,3,5,0,0,0,1,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,3,,,,Engineering Mechanics,
last_name_38,first_name_38,2.61,1,4,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,5,partner_last_name_12,partner_first_name_12,3.42,Mechanical Engineering,Mechanical Engineering
last_name_39,first_name_39,3.68,0,0,1,0,0,0,3,3,0,0,2,5,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3,,,,Mechanical Engineering,
last_name_40,first_name_40,2.95,0,0,0,0,3,0,0,0,2,1,0,0,5,0,0,1,0,0,0,2,0,5,0,4,2,0,0,0,,,,Mechanical Engineering,
last_name_41,first_name_41,3.62,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,1,1,3,0,1,2,3,0,0,3,3,,,,Mechanical Engineering,
